full_name,email,phone,department,job_title
Nina Martin,nina.martin@company.com,0654936733,IT/IS,IT Support
Lucas Benali,lucas.benali@company.com,0609410059,Production       ,Production Technician I
Emma Martin,emma.martin@company.com,0619742250,IT/IS,Area Sales Manager
Emma Durand,emma.durand@company.com,0632735151,IT/IS,Senior BI Developer
Nina Durand,nina.durand@company.com,0603123700,Production       ,Production Technician I
Sophie Durand,sophie.durand@company.com,0633984609,IT/IS,IT Support
Lucas Dupont,lucas.dupont@company.com,0672712396,Production       ,Production Technician I
Lucas Durand,lucas.durand@company.com,0691186406,Production       ,Production Manager
Sophie Leroy,sophie.leroy@company.com,0609559135,Admin Offices,Senior BI Developer
Sophie Leroy,sophie.leroy@company.com,0613770916,Sales,Administrative Assistant
Emma Dupont,emma.dupont@company.com,0605535668,Sales,Area Sales Manager
Emma Martin,emma.martin@company.com,0601563936,Production       ,Production Technician I
Lucas Dupont,lucas.dupont@company.com,0676116376,Production       ,Production Manager
Karim Benali,karim.benali@company.com,0660742076,Production       ,Production Technician I
Emma Leroy,emma.leroy@company.com,0664800614,Production       ,Production Technician II
Nina Durand,nina.durand@company.com,0666098955,Production       ,Production Technician II
Emma Martin,emma.martin@company.com,0682759329,Production       ,Production Technician II
Emma Durand,emma.durand@company.com,0664964769,Production       ,Production Technician I
Karim Dupont,karim.dupont@company.com,0649731294,Production       ,Production Technician I
Yanis Dupont,yanis.dupont@company.com,0646831427,IT/IS,Network Engineer
Nina Leroy,nina.leroy@company.com,0674018324,Production       ,Production Technician I
Nina Benali,nina.benali@company.com,0699715197,Software Engineering,Software Engineer
Lucas Leroy,lucas.leroy@company.com,0694386370,Software Engineering,Shared Services Manager
Lucas Leroy,lucas.leroy@company.com,0604028819,IT/IS,CIO
Nina Durand,nina.durand@company.com,0685105609,Production       ,Production Technician I
Lucas Benali,lucas.benali@company.com,0640970344,Production       ,Production Technician I
Lucas Durand,lucas.durand@company.com,0610686558,Production       ,Production Technician II
Lucas Dupont,lucas.dupont@company.com,0675582831,Production       ,Production Technician I
Nina Martin,nina.martin@company.com,0675561739,Software Engineering,Shared Services Manager
Lucas Benali,lucas.benali@company.com,0655557552,IT/IS,CIO
Nina Durand,nina.durand@company.com,0643246526,IT/IS,Sr. Network Engineer
Lucas Leroy,lucas.leroy@company.com,0633742414,Production       ,Production Manager
Nina Benali,nina.benali@company.com,0694438813,Sales,Administrative Assistant
Emma Dupont,emma.dupont@company.com,0661992043,Production       ,Production Technician I
Yanis Dupont,yanis.dupont@company.com,0656510354,Production       ,Production Technician II
Lucas Dupont,lucas.dupont@company.com,0687547886,Production       ,Production Technician II
Sophie Leroy,sophie.leroy@company.com,0646769181,Production       ,Production Technician I
Sophie Dupont,sophie.dupont@company.com,0633728593,Production       ,Production Technician I
Nina Martin,nina.martin@company.com,0671707661,IT/IS,Senior BI Developer
Nina Durand,nina.durand@company.com,0623933772,Production       ,Production Technician I
Sophie Leroy,sophie.leroy@company.com,0671969421,Production       ,Production Technician I
Yanis Martin,yanis.martin@company.com,0628527834,Production       ,Production Technician II
Yanis Benali,yanis.benali@company.com,0636486149,Sales,Area Sales Manager
Lucas Martin,lucas.martin@company.com,0663753834,Production       ,Production Technician II
Sophie Dupont,sophie.dupont@company.com,0615505617,Production       ,Production Technician I
Lucas Durand,lucas.durand@company.com,0639103095,Production       ,Production Technician I
Yanis Dupont,yanis.dupont@company.com,0681458190,Production       ,Production Technician I
Lucas Durand,lucas.durand@company.com,0644648099,Production       ,Production Technician II
Nina Martin,nina.martin@company.com,0602268222,Production       ,Production Technician I
Nina Martin,nina.martin@company.com,0651401631,Production       ,Network Engineer
Sophie Dupont,sophie.dupont@company.com,0657888207,IT/IS,Database Administrator
Lucas Durand,lucas.durand@company.com,0657804055,IT/IS,Network Engineer
Karim Dupont,karim.dupont@company.com,0664719600,Sales,Area Sales Manager
Emma Leroy,emma.leroy@company.com,0602887134,Production       ,Production Technician I
Sophie Durand,sophie.durand@company.com,0693086189,Production       ,Production Technician I
Lucas Dupont,lucas.dupont@company.com,0697706965,Production       ,Production Manager
Yanis Martin,yanis.martin@company.com,0628654417,Production       ,Production Technician II
Karim Durand,karim.durand@company.com,0609626846,Software Engineering,Software Engineer
Lucas Leroy,lucas.leroy@company.com,0620188368,Production       ,Production Technician I
Karim Leroy,karim.leroy@company.com,0620057360,Production       ,Production Technician I
Karim Martin,karim.martin@company.com,0675613251,Production       ,Production Technician I
